,birth,death,race_eth,education,institution
Temple Bailey,1885, 1953, White, Bachelor's Degree, Smith College
J. B. Priestley,1894, 1984, English, None, None
Joseph C. Lincoln,1870, 1944, American, None, None
Mazo De La Roche,1879, 1961, Canadian, None, None
Manuel Komroff,1886, 1974, None, None, None
Ellen Glasgow,1873, 1945, American, None, None
Hugh Walpole,1884, 1941, English, Bachelor's Degree, University of Cambridge
Phyllis Bentley,1894, 1977, British, None, None
Thorne Smith,1892, 1934, American, Bachelor's Degree, Harvard University
Rosamond Lehmann,1901, 1990, English, Bachelor's Degree, Newnham College
Lion Feuchtwanger,1884, 1958, German, Doctorate, University of Munich
W. Someset Maugham,1874, 1965, British, None, None
Lloyd C. Douglas,1877, 1951, American, None, None
James G. Cozzens,1903, 1978, American, Bachelor's Degree, Harvard University
S. S. Van Dine,1888, 1939, Caucasian, None, None
Isabel Paterson,1886, 1961, None, Bachelor's Degree, University of Kansas
Sinclair Lewis,1885, 1951, American, Bachelor's Degree, Yale University
H. G. Wells,1866, 1946, English, None, None
Fannie Hurst,1889, 1968, American, None, None
G. B. Lancaster,1896, 1972, British, None, None
Robert Nathan,1894, 1985, American, None, None
Graham Greene,1904, 1991, English, Bachelor's Degree, Balliol College
Marjorie K. Rawlings,1896, 1953, American, Bachelor's Degree, University of Florida
Anonymous,None, None, None, None, None
Guy Endore,1911, 1970, American, Bachelor's Degree, University of California
Gladys Hasty Carroll,1904, 1990, American, Bachelor's Degree, Smith College
Charles G. Norris,1881, 1945, White, None, None
Hans Fallada,1893, 1947, German, None, None
Jules Romains,1885, 1972, French, None, None
Hervey Allen,1889, 1949, American, None, None
Phil Stong,1899, 1957, American, Bachelor's Degree, University of Iowa
Richard Aldington,1892, 1962, British, Bachelor's Degree, University College London
Robert Hichens,1864, 1950, British, None, None
Bess Streeter Aldrich,1881, 1954, White, Bachelor's Degree, University of Nebraska
Maz De La Roche,1885, 1967, Canadian, Bachelor's Degree, University of Toronto
Janet Beith,1943, N/A, None, None, None
Sigrid Undset,1882, 1949, Norwegian, Doctorate, University of Oslo
Dorothy Parker,1893, 1967, Caucasian, Bachelor's Degree, Vassar College
Dorothy Canfield,1879, 1958, American, Bachelor's Degree, Ohio State University
Alice Tisdale Hobart,1879, 1946, American, Bachelor's Degree, University of California
John Masefield,1878, 1967, British, None, None
Dashiell Hammett,1894, 1961, American, None, None
James Joyce,1882, 1941, Irish, Bachelor's Degree, University College Dublin
James M. Cain,1892, 1977, American, Bachelor's Degree, Washington College
Emilie Loring,1874, 1951, American, Bachelor's Degree, Smith College
R. C. Hutchinson,1886, 1968, White, Bachelor's Degree, University of London
Agatha Christie,1890, 1976, British, N/A, None
George Cronyn,1884, 1968, Caucasian, Bachelor's Degree, McGill University
Robert W. Chambers,1865, 1933, White, None, None
Eric Linklater,1899, 1974, Scottish, Bachelor's Degree, University of Edinburgh
Elizabeth Jenkins,1905, 2010, British, None, None
Phyllis Boltome,None, None, None, None, None
Stefan Zweig,1881, 1942, Austrian-Jewish, Doctorate, University of Vienna
MacKinlay Kantor,1904, 1977, American, Bachelor's Degree, University of Iowa
F. Scott Fitzgerald,1896, 1940, American, Bachelor's Degree, Princeton University
Isak Dinesen,1885, 1962, Danish, None, None
Louis-Ferdinand Celine,1894, 1961, French, Bachelor's Degree, None
P. G. Wodehouse,1881, 1975, British, Bachelor's Degree, Dulwich College
Stephen Vincent Benet,1898, 1943, American, Bachelor's Degree, Yale University
Caroline Miller,1903, 1992, American, Bachelor's Degree, University of Georgia
Tess Slesinger,1905, 1945, Jewish, Bachelor's Degree, University of California
Ann Bridge,1889, 1974, British, None, None
Robert Graves,1895, 1985, English, None, None
Thomas Mann,1875, 1955, German, Doctorate, Ludwig Maximilian University of Munich
E. M. Delafield,1890, 1943, British, None, None
Josephine Lawrence,1888, 1972, American, Bachelor's Degree, Barnard College
Maurice Walsh,1879, 1964, Irish, None, None
James Hilton,1900, 1954, British, Bachelor's Degree, Cambridge University
Stark Young,1881, 1963, American, Master's Degree, University of Mississippi
Alec Waugh,1898, 1981, English, None, None
John O'Hara,1905, 1970, American, Bachelor's Degree, Princeton University
Samuel Rogers,1763, 1855, English, None, None
Archie Binns,1889, 1958, Scottish, Bachelor's Degree, University of Edinburgh
Irving Stone,1903, 1989, Jewish, Bachelor's Degree, University of California
Mary Ellen Chase,1887, 1973, American, Doctorate, Columbia University
Doris Leslie,1914, 1992, White, None, None
Ruth Suckow,1892, 1960, White, Bachelor's Degree, University of Iowa
William Saroyan,1908, 1981, Armenian-American, Bachelor's Degree, Stanford University
Ethel Boileau,1885, 1961, White, None, None
Victoria Lincoln,1916, 2011, White, Bachelor's Degree, Smith College
Kenneth Roberts,1885, 1957, American, Bachelor's Degree, Colby College
"""Elizabeth.",None, None, None, None, None
Franz Werfel,1890, 1945, Austrian-Jewish, None, None
Thornton Wilder,1897, 1975, American, Master's Degree, Princeton University
John Knittel,1891, 1959, Swiss, None, None
Bessie Breuer,1888, 1975, American, Bachelor's Degree, University of Michigan
Edouard Piesson,None, None, None, None, None
Alfred Neumann,1900, 1990, German, None, None
Eleanor Carroll Chilton,None, None, None, None, None
Thomas Wolfe,1900, 1938, Caucasian, Bachelor's Degree, University of North Carolina at Chapel Hill
Bruno Frank,1887, 1945, German, Doctorate, University of Berlin
William Faulkner,1897, 1962, American, Bachelor's Degree, University of Mississippi
Louis Adamic,1898, 1951, Slovenian, None, None
Elizabeth Madox Roberts,1881, 1941, American, None, None
Rachel Field,1894, 1942, American, Bachelor's Degree, Radcliffe College
Susan Ertz,1887, 1985, White, None, None
Katherine Brush,1898, 1952, American, Bachelor's Degree, University of Washington
Enid Bagnold,1889, 1981, British, None, None
James Boyd,1871, 1944, American, Bachelor's Degree, University of North Carolina at Chapel Hill
Josephine Johnson,1910, 1990, American, Bachelor's Degree, University of Iowa
Humphrey Cobb,1899, 1944, Canadian, Bachelor's Degree, University of Toronto
Erskine Caldwell,1903, 1987, American, Bachelor's Degree, University of North Georgia
Robert Rylee,None, None, None, None, None
David Frome,None, None, None, None, None
Ruth Feiner,None, None, White, Bachelor's Degree, Barnard College
Laurence Kirk,None, None, None, None, None
Clarence Day,1874, 1935, American, Bachelor's Degree, Harvard University
Rex Stout,1886, 1975, American, None, None
H. L. Davis,1894, 1977, American, Bachelor's Degree, University of Oregon
Robert Briffault,1876, 1948, British, Bachelor's Degree, University of Oxford
Phillip Gibbs,None, None, None, None, None
B. S. Aldrich,1906, 2003, American, Bachelor's Degree, University of Vermont
Mary Ayer Barnes,1870, 1948, None, Bachelor's Degree, None
Barry Benefield,1936, 2018, Caucasian, Bachelor's Degree, University of New Hampshire
James Gould Cozzens,1903, 1978, American, Bachelor's Degree, Harvard University
Johan Fabricius,1884, 1962, Danish, None, None
Lion Feuchwanger,1884, 1958, German, Doctorate, University of Munich
George Santayana,1863, 1952, Spanish-American, Ph.D., Harvard University
Frances Frost,1903, 1989, White, Bachelor's Degree, University of Washington
Marian Sims,None, None, None, None, None
Dorothy L. Sayers,1893, 1957, British, Bachelor's Degree, Somerville College
Somerset Maugham,1874, 1965, English, None, None
Elizabeth Bowen,1899, 1973, Irish, None, None
Rebecca West,1892, 1983, British, None, None
Winifred Holtby,1898, 1935, British, None, None
Daphne Du Maurier,1907, 1989, British, None, None
Arnold Zweig,1887, 1968, German-Jewish, Doctorate, University of Berlin
Vincent Sheean,1899, 1975, Caucasian, Bachelor's Degree, University of Notre Dame
Margaret Mitchell,1900, 1949, Caucasian, Bachelor's Degree, Smith College
Walter D. Edmonds,1903, 1998, American, Bachelor's Degree, University of Wisconsin-Madison
John Buchan,1875, 1940, Scottish, Bachelor's Degree, Brasenose College
Winifred Van Etten,1907, 1992, Caucasian, Bachelor's Degree, University of Wisconsin-Madison
John T. McIntyre,1945, N/A, Caucasian, Bachelor's Degree, University of Maryland
Fanny Hurst,1889, 1968, American, Bachelor's Degree, Washington University in St. Louis
Marcia Davenport,1903, 1996, American, Bachelor's Degree, University of Pennsylvania
Janet Ayer Fairbank,1906, 1970, Caucasian, Bachelor's Degree, Smith College
Gilbert Frankau,1884, 1952, British, None, None
John P. Marquand,1893, 1960, American, None, None
Jolan Foldes,1904, 1976, Hungarian, Doctorate, University of Szeged
 Maxence van der Meersch,1907, 1951, Belgian, Bachelor's Degree, University of Liège
Myron Brinig,1896, 1973, American, Bachelor's Degree, University of Wisconsin-Madison
John Steinbeck,1902, 1968, American, Bachelor's Degree, Stanford University
Esther Forbes,1891, 1967, American, Master's Degree, Radcliffe College
Virginia Woolf,1882, 1941, Caucasian, None, None
C. S. Forrester,1899, 1962, British, None, None
Erich Maria Remarque,1898, 1970, German, None, None
Millen Brand,1918, 2008, American, Bachelor's Degree, University of Wisconsin-Madison
Helen Reilly,1891, 1962, White, Bachelor's Degree, Barnard College
Jerome Weldman,None, None, None, None, None
Trygve Gulbranssen,1882, 1962, Norwegian, None, None
Michael Foster,None, None, None, None, None
Vaughan Wilkins,None, None, None, None, None
Clyde Brion Davis,1896, 1965, American, Bachelor's Degree, University of Michigan
Walter Duranty,1884, 1957, White, Bachelor's Degree, Cambridge University
Frederic Prokosch,1908, 1989, American, Master's Degree, University of Wisconsin-Madison
Leonard Q. Ross,1914, 1993, Jewish, Bachelor's Degree, University of Wisconsin-Madison
Margery Sharp,1905, 1991, English, None, None
Sally Salminen,1906, 1975, Finnish, Bachelor's Degree, University of Helsinki
Heinrich Mann,1871, 1950, German, Doctorate, University of Freiburg
David Pilgrim,1944, N/A, African American, Bachelor's Degree, Ferris State University
Cecil Roberts,None, None, None, None, None
Ernest Hemingway,1899, 1961, American, High School, Oak Park and River Forest High School
Stuart Cloethe,1946, N/A, American, Bachelor's Degree, University of Washington
Elmer Rice,1882, 1967, Caucasian, Bachelor's Degree, University of Illinois at Urbana–Champaign
Rex Warner,1905, 1986, British, None, None
Gunnar Gunnarsson,1888, 1975, Icelandic, None, None
Marjorie Kinnan Rawlings,1896, 1953, American, Bachelor's Degree, University of Florida
Phyllis Bottome,1882, 1963, British, None, None
Rose Wilder Lane,1886, 1968, White, Bachelor's Degree, Vassar College
Howard Spring,1889, 1965, British, None, None
Gwen Bristow,1903, 1980, American, Bachelor's Degree, University of California
Frances Parkinson Keyes,1885, 1970, American, Bachelor's Degree, Smith College
Nevil Shute,1899, 1960, British, Bachelor's Degree, Oxford University
Elizabeth Goudge,1900, 1984, British, None, None
Ruth McKenney,1905, 1972, American, Bachelor's Degree, University of Chicago
Laura Krey,None, None, None, None, None
William Blake,1757, 1827, English, None, None
Taylor Caldwell,1900, 1985, Caucasian, Bachelor's Degree, University of California
Evan John,None, N/A, None, None, None
F. Van Wyck Mason,1901, 1991, American, Bachelor's Degree, Harvard University
Kressman Taylor,1897, 1996, American, None, None
Elizabeth Page,None, None, None, None, None
Bruce Lancaster,1895, 1996, American, Bachelor's Degree, University of Maryland
C. S. Forester,1899, 1966, British, None, None
John Jennings,1970, N/A, African American, Master's Degree, University of Wisconsin-Madison
Angela Thirkell,1890, 1961, British, None, None
Rumer Godden,1907, 1998, British, Bachelor's Degree, University of London
Pietro di Donato,1911, 1992, Italian-American, None, None
Vardis Fisher,1895, 1968, American, Bachelor's Degree, University of Idaho
Ethel Vance,1883, 1975, White, Bachelor's Degree, University of California
Francis Hackett,1883, 1963, Irish, Bachelor's Degree, Trinity College Dublin
W. Somerset Maugham,1874, 1965, English, None, None
Sholem Asch,1880, 1957, Jewish, None, None
Christopher Morley,1890, 1957, American, Bachelor's Degree, Haverford College
Lin Yutang,1895, 1976, Chinese, Doctorate, University of Berlin
Robert Henriques,1908, 2002, British, Bachelor's Degree, London School of Economics
Richard Llewellyn,1906, 1983, Welsh, None, None
Zsolt de Harsanyi,1891, 1973, Hungarian, None, None
Richard Wright,1908, 1960, African American, Bachelor's Degree, None
Susan Glaspell,1876, 1948, White, Bachelor's Degree, Drake University
Elizabeth von Arnim,1866, 1941, German, None, None
Henry Bellamann,1882, 1961, American, Bachelor's Degree, University of Missouri
F. van Wyck Mason,1901, 1991, American, Bachelor's Degree, Harvard University
Evelyn Eaton,1909, 1994, White, Bachelor's Degree, University of California
Upton Sinclair,1878, 1968, American, Bachelor's Degree, University of California
Jan Struther,1901, 1953, British, None, None
Lella Warren,1880, 1960, American, Bachelor's Degree, University of Michigan
Nina Fedorova,None, N/A, Russian, None, None
Marcus Goodrich,1897, 1991, American, Bachelor's Degree, University of Southern California
Maurice Hindus,1888, 1961, Russian, Bachelor's Degree, University of Michigan
J. P. Marquand,1893, 1960, American, None, None
Michael Sadleir,1888, 1957, British, None, None
Eric Knight,1895, 1943, White, Bachelor's Degree, Pennsylvania State University
Frank Hough,1887, 1973, White, Bachelor's Degree, None
Maritta Wolf,1943, N/A, American, Master's Degree, Stanford University
Commander Edward Ellisberg,1898, 1944, Jewish, None, None
Allis McKay,1981, N/A, None, Bachelor's Degree, University of Delaware
Budd Schulberg,1914, 2009, American, Bachelor's Degree, Columbia University
Helen McInnes,1912, 1985, Scottish, Bachelor's Degree, University of Glasgow
Marguerite Steen,1900, 1990, White, Bachelor's Degree, University of Edinburgh
Isabel Rorick,1992, N/A, None, Bachelor's Degree, University of California
Judith Kelly,None, None, None, None, None
Mary O'Hara,1885, 1980, Irish, None, None
Mildred Jordan,1911, 2003, African American, Bachelor's Degree, University of Michigan
Ben Ames Williams,1889, 1953, American, None, None
Gyspy Rose Lee,1911, 1970, American (of Russian Jewish descent), None, None
Arthur Meeker,1884, 1953, American, Bachelor's Degree, University of Chicago
Daphne du Maurier,1907, 1989, English, None, None
Struthers Burt,1881, 1946, American, None, University of Chicago
Bradda Field,1971, N/A, American, Bachelor's Degree, Temple University
Austin Wright,1941, 2019, American, Master's Degree, University of California
Granville Hicks,1901, 1981, White, PhD, Columbia University
Elliott Arnold,1912, 1990, American, Bachelor's Degree, University of California
Helen MacInnes,1907, 1986, Scottish, Bachelor's Degree, University of Glasgow
Elizabeth Chevalier,None, None, English, None, None
Dorothy Macardle,1889, 1958, Irish, Bachelor's Degree, University College Dublin
Philip Van Doren Stern,1900, 1984, American, Bachelor's Degree, University of Pennsylvania
James Aldridge,1918, 2015, Australian, Bachelor's Degree, University of Melbourne
Anna Seghers,1900, 1983, German, Doctorate, University of Heidelberg
Nancy Hale,1908, 2003, American, Bachelor's Degree, Radcliffe College
Stefan Heym,1913, 2001, German, Bachelor's Degree, University of Frankfurt
Legrand Cannon,1846, 1915, None, None, None
Stuart Cloete,1878, 1976, South African, None, None
Margaret Carpenter,None, None, None, None, None
Howard Fast,1914, 2003, Jewish, Bachelor's Degree, City College of New York
Xavier Herbert,1901, 1984, Australian, None, None
Ngaio Marsh,1895, 1982, New Zealand European, Bachelor's Degree, University of Canterbury
Albert E. Idell,1913, 1997, Caucasian, Doctorate, University of Pennsylvania
Vincent McHugh,1900, 1959, American, Bachelor's Degree, University of Pennsylvania
Betty Smith,1896, 1972, White, Bachelor's Degree, University of Michigan
Elizabeth Janeway,1905, 2005, American, Bachelor's Degree, Vassar College
Ilka Chase,1900, 1978, American, Bachelor's Degree, Barnard College
Martha Gellhorn,1908, 1998, American, Bachelor's Degree, Barnard College
Charles Jackson,1903, 1968, American, Bachelor's Degree, University of Wisconsin-Madison
John Hersey,1914, 1993, White, Bachelor's Degree, Harvard University
Lillian Smith,1897, 1966, White, Bachelor's Degree, Georgia State College for Women
Anne Morrow Lindbergh,1906, 2001, White, Bachelor's Degree, Smith College
Joseph S. Pennell,1860, 1926, American, None, None
Kathleen Winsor,1919, 2003, American, Bachelor's Degree, University of California
Gwenthalyn Graham,None, None, None, None, None
Samuel Shellaburger,None, None, None, None, None
Glenway Wescott,1901, 1987, American, Master's Degree, Harvard University
Adria Locke Langley,1862, 1912, None, None, None
Ayn Rand,1905, 1982, Russian, Master's Degree, Columbia University
Wilbur Daniel Steele,1886, 1970, American, None, None
Dan Wickenden,None, N/A, None, None, None
Lau Shaw,1900, 1970, Chinese, Bachelor's Degree, None
Bruce Marshall,1899, 1987, Scottish, None, None
Robert Hardy Andrews,1895, 1966, American, Bachelor's Degree, University of North Carolina at Chapel Hill
Herbert Gorman,1883, 1939, Irish, Bachelor's Degree, None
Lester Cohen,1940, N/A, None, None, None
Thomas B. Costain,1885, 1965, Canadian, Bachelor's Degree, University of Toronto
James Ramsey Ullman,1907, 1971, American, Bachelor's Degree, Yale University
Bellamy Partridge,None, None, White, None, None
Josephine Pinckney,1895, 1957, American, Bachelor's Degree, College of Charleston
Ben Burman,None, None, None, None, None
Nicholas Monsarrat,1910, 1979, British, Bachelor's Degree, Emmanuel College
James Thurber,1894, 1961, American, Bachelor's Degree, The Ohio State University
James H. Street,1905, 1978, American, Bachelor's Degree, University of Florida
Nancy Bruff,None, None, None, None, None
Elswyth Thane,1900, 1984, White American, Bachelor's Degree, Smith College
Konstantine Simonov,1915, 1979, Russian, None, None
Jim Bishop,1907, 1987, White, Bachelor's Degree, None
Evelyn Waugh,1903, 1966, British, None, None
Jessamyn West,1902, 1984, White, Bachelor's Degree, University of California
Max Shulman,1919, 1988, Jewish, Bachelor's Degree, University of Minnesota
Arthur Miller,1915, 2005, American, Bachelor’s Degree, University of Michigan
Max White,None, None, None, None, None
Robert Wilder,1885, 1954, American, Bachelor's Degree, University of Southern California
Elizabeth Metzger Howard,1893, 1972, White, Bachelor's Degree, Smith College
Mary King O'Donnell,None, None, White, Bachelor's Degree, None
Anya Seton,1904, 1990, White American, Bachelor's Degree, Barnard College
Frank Yerby,1916, 1991, African American, Bachelor's Degree, Paine College
Ann Petry,1908, 1992, African American, Bachelor's Degree, University of New York
Fannie Cook,1876, 1958, Caucasian, Bachelor's Degree, Vassar College
Josephine W. Johnson,1910, 1990, American, Bachelor's Degree, University of Washington
Jo Sinclair,1903, 1995, Caucasian, Bachelor's Degree, University of Wisconsin-Madison
Gladys Schmitt,1910, 2008, American, Master's Degree, University of Southern California
Theodore Dreiser,1871, 1945, American, Bachelor's Degree, Indiana University
Edmund Wilson,1895, 1972, American, Bachelor's Degree, Princeton University
Garland Roark,1895, 1953, American, None, None
Mary Jane Ward,1905, 1981, American, Bachelor's Degree, University of Wisconsin-Madison
Gerald Kersh,1911, 1968, English, None, None
Eudora Welty,1909, 2001, American, Bachelor's Degree, Universit of Wisconsin-Madison
Shirley Seifert,None, None, None, None, None
Rosamond Marshall,1880, 1969, White, None, None
James T. Farrell,1904, 1979, Irish American, Bachelor's Degree, University of Chicago
W.Somerset Maugham,1874, 1965, English, None, None
Frederic Wakeman,1918, 1996, American, Bachelor's Degree, University of California
R.G. Waldeck,1879, 1942, None, None, None
Marian Castle,None, None, None, None, None
Nancy Mitford,1904, 1973, British, None, None
Edward McSorley,1924, 2010, White, Bachelor's Degree, University of Notre Dame
Ruth Moore,1903, 1989, American, Bachelor's Degree, University of Maine
Helen Howe,None, None, None, None, None
Sholom Aleichem,1859, 1916, Jewish, None, None
H. Allen Smith,1907, 1994, American, Bachelor's Degree, University of Washington
Halldor Laxness,1902, 1998, Icelandic, None, None
Robert Penn Warren,1905, 1989, White, Master's Degree, Vanderbilt University
Thomas Heggen,1929, 1949, White, Bachelor's Degree, University of Minnesota
George Orwell,1903, 1950, English, Bachelor's Degree, Eton College
Christine Weston,1980, N/A, White, Bachelor's Degree, University of Massachusetts Amherst
Christopher La Farge,1977, N/A, American, Bachelor's Degree, Harvard University
Russell Janney,1894, 1952, White, None, None
William Lindsay Gresham,1909, 1962, American, None, None
Pat Frank,1909, 1964, White, Bachelor's Degree, University of Florida
C.S. Forester,1899, 1966, British, None, None
Frank Slaughter,1908, 2001, American, Bachelor's Degree, University of Florida
Terence Hanbury White,1912, 1964, British, Bachelor's Degree, St John's College
Arthur Koestler,1905, 1983, Hungarian-Jewish, Ph.D., University of Vienna
Jan Westcott,1898, 1976, American, Bachelor's Degree, University of Wisconsin-Madison
Inglis Fletcher,1887, 1969, Caucasian, None, None
Harnett Thomas Kane,1882, 1956, American, Bachelor's Degree, University of Pennsylvania
Eric Hodgins,1906, 199 Hodgins, White, Bachelor's Degree, Harvard University
Pierre Andrezel,None, None, None, None, None
William Wister Haines,1900, 1978, White, Bachelor's Degree, University of Pennsylvania
Norman Collins,1900, 1985, American, None, None
Herbert Krause,1893, 1970, American, Bachelor's Degree, University of Minnesota
Marjorie Carleton,1940, N/A, None, Bachelor's Degree, University of California
James Cain,1892, 1977, American, Bachelor's Degree, University of California
Paul I. Wellman,1895, 1975, White, Bachelor's Degree, University of Nebraska
Bernard Augustine De Voto,1897, 1955, Caucasian, Master's Degree, Harvard University
Nancy Wilson Ross,1910, 2002, American, Bachelor's Degree, University of Washington
Mildred Walker,1905, 1998, American, Master's Degree, University of Montana
Laura Z. Hobson,1900, 1986, American, Bachelor's Degree, University of California
Malcolm Lowry,1909, 1957, White, Bachelor's Degree, University of British Columbia
Maurice Samuel,1895, 1972, Jewish, N/A, N/A
Harold Lamb,1892, 1962, Caucasian, None, None
Feike Feikema,1952, N/A, Dutch, None, None
Edward F. Murphy,1940, N/A, Irish American, Bachelor's Degree, Boston College
Ludwig Lewisohn,1882, 195 Lewisohn, Jewish, Master's Degree, Columbia University
Herman Wouk,1915, 2019, American, Bachelor's Degree, Columbia University
A.B. Guthrie Jr,1901, 1991, American, Bachelor's Degree, University of Montana
Gabrielle Roy,1903, 1983, Canadian, Bachelor's Degree, Université de Montréal
Willard Motley,1911, 1993, African American, Bachelor's Degree, University of Illinois
Stuart David Engstrand,1935, N/A, White, Bachelor's Degree, University of California
Idwal Jones,1895, 1965, Welsh, Bachelor's Degree, University of Wales
Harry Sylvester,1926, 1996, None, Bachelor's Degree, University of Minnesota
Natalie Anderson Scott,1892, 1980, American, PhD, University of North Carolina at Chapel Hill
Arthemise Goertz,1985, N/A, White, Bachelor's Degree, University of Wisconsin-Madison
Samuel Shellanbarger,None, None, None, None, None
John Horne Burns,1916, 1953, White, Bachelor's Degree, Harvard University
Emily Eden,1797, 1869, British, None, None
W Somerset Maughan,1874, 1965, British, None, None
Jean Paul Sartre,1905, 1980, French, Master's Degree, École normale supérieure
David Davidson,1940, N/A, None, None, None
Ludwig Bemelmans,1898, 1962, Austrian, None, None
Virginia Eggertsen Sorensen,1906, 1991, Caucasian, Bachelor's Degree, University of Utah
Monica Dickens,1915, 1992, British, None, None
Norah Lofts,1895, 1983, British, N/A, None
Richard Sherman,1988, N/A, African American, Bachelor's Degree, Stanford University
Gerald Warner Brace,1901, 1978, American, None, None
Peter Bourne,1939, N/A, American, Doctorate, Tulane University
Thomas W. Duncan,None, None, None, None, None
Mabel Seeley,1903, 1991, American, Bachelor's Degree, University of Washington
Robert C. Ruark,1915, 1965, American, None, None
Scott O'Dell,1898, 1989, White, Bachelor's Degree, University of California
Rubylea Hall,1925, N/A, African American, Bachelor's Degree, None
Agnes Sligh Turnbull,1888, 1982, American, Bachelor's Degree, University of Pennsylvania
Frank G. Slaughter,1890, 2001, American, N/A, None
Neil H. Swanson,1925, 2008, Caucasian, Bachelor's Degree, University of Washington
Kathryn Forbes,1908, 1966, Norwegian-American, Bachelor's Degree, University of Washington
Guy McCrone,1894, 1969, Scottish, Bachelor's Degree, University of Edinburgh
Howard Breslin,1908, 1983, None, Bachelor's Degree, Columbia University
H.E. Bates,1905, 1974, British, None, None
Ross Lockridge,1914, 1948, White, Bachelor's Degree, Indiana University
Mary Roberts Rinehart.,1876, 1958, White, Bachelor's Degree, Allegheny College
Norman Katkov,1928, 2002, American, Bachelor's Degree, University of California
Gore Vidal,1925, 2012, American, Bachelor's Degree, T.C. Williams School of Law
Merle Miller,1919, 1986, American, Bachelor's Degree, University of Kansas
Truman Capote,1924, 1984, Caucasian, None, None
Angela Mackail Thirkell,1890, 1961, British, None, None
Agnes Newton Keith,1890, 1972, American, Bachelor's Degree, University of Washington
Alan Paton,1903, 1988, White South African, Bachelor's Degree, University of Natal
Dalton S. Reymond,1922, 1994, American, Bachelor's Degree, University of Virginia
Ralph Ingersoll,1896, 1985, American, None, None
Martin Boyd,1918, 1972, Australian, Bachelor's Degree, University of Melbourne
Joseph George Hitrec,1895, 1970, Croatian, Bachelor's Degree, University of Zagreb
Hiram Haydn,1887, 1973, White, Bachelor's Degree, Harvard University
Nelia Gardner White,1908, 1970, White, Bachelor's Degree, University of California
George R. Stewart,1895, 1980, American, Bachelor's Degree, University of California
Harold Robbins,1916, 1997, American, Bachelor's Degree, None
Norman Mailer,1923, 2007, American, Bachelor's Degree, Harvard University
Zoe Oldenbourg,1903, 1975, French, None, None
Baynard Kendrick,1906, 1998, American, Bachelor's Degree, Harvard University
Horace McCoy,1897, 1955, American, Bachelor's Degree, University of California
A.J. Cronin,1896, 1981, Scottish, Medical Degree, University of Glasgow
Ellin Berlin,1890, 1979, Jewish, Bachelor's Degree, University of Wisconsin-Madison
Hollister Noble,1971, N/A, White, Bachelor's Degree, Brigham Young University
Robert Van Gelder,None, None, None, None, None
Albert Camus,1913, 1960, Algerian, Master's Degree, University of Algiers
Agatha Young,None, None, White, None, None
Irwin Shaw,1913, 1984, Jewish, Bachelor's Degree, Brooklyn College
Carl Sandburg,1878, 1967, Caucasian, Bachelor's Degree, Lombard College
Lawrence Schoonover,1883, 1972, American, Bachelor's Degree, University of New Mexico
Inglis Clark Fletcher,1860, 1948, White, Bachelor's Degree, University of California
Dodie Smith,1896, 1990, English, None, None
Margaret Irwin,1887, 1960, British, None, None
