,author,birth,death,race_eth,education,institution,birthplace,temp,country,state,city,_merge,prestigious,prestige
57,G. B. Lancaster,1896,1972,British,None,None,"Birmingham, England, UK","['Birmingham', ' England', ' UK']",United Kingdom,,Birmingham,both,False,Other
58,Robert Nathan,1894,1985,American,None,None,"New York City, NY, USA","['New York City', ' NY', ' USA']",USA,NY,New York City,both,False,Other
59,Graham Greene,1904,1991,English,Undergrad ,Balliol College,"Berkhamsted, Hertfordshire, England","['Berkhamsted', ' Hertfordshire', ' England']",England,,Berkhamsted,both,False,Other
60,Marjorie K. Rawlings,1896,1953,American,Undergrad ,University of Florida,"Washington, D.C., USA","['Washington', ' D.C.', ' USA']",USA,D.C.,Washington,both,False,Other
61,Anonymous,,None,None,None,None,,,,,,both,False,Other
62,Guy Endore,1911,1970,American,Undergrad ,University of California,"New York City, NY, USA","['New York City', ' NY', ' USA']",USA,NY,New York City,both,False,Other
63,Gladys Hasty Carroll,1904,1990,American,Undergrad ,Smith College,"Bangor, ME, USA","['Bangor', ' ME', ' USA']",USA,ME,Bangor,both,False,Other
64,Charles G. Norris,1881,1945,White,None,None,"Chicago, IL, USA","['Chicago', ' IL', ' USA']",USA,IL,Chicago,both,False,Other
65,Hans Fallada,1893,1947,German,None,None,"Greifswald, Mecklenburg-Vorpommern, Germany","['Greifswald', ' Mecklenburg-Vorpommern', ' Germany']",Germany,,Greifswald,both,False,Other
66,Jules Romains,1885,1972,French,None,None,"Saint-Bonnet-de-Chavagne, Isère, France","['Saint-Bonnet-de-Chavagne', ' Isère', ' France']",France,,Saint-Bonnet-de-Chavagne,both,False,Other
67,Hervey Allen,1889,1949,American,None,None,"Pittsburgh, PA, USA","['Pittsburgh', ' PA', ' USA']",USA,PA,Pittsburgh,both,False,Other
68,Phil Stong,1899,1957,American,Undergrad ,University of Iowa,"Mason City, IA, USA","['Mason City', ' IA', ' USA']",USA,IA,Mason City,both,False,Other
69,Richard Aldington,1892,1962,British,Undergrad ,University College London,"Portsmouth, Hampshire, England","['Portsmouth', ' Hampshire', ' England']",England,,Portsmouth,both,False,Other
70,Robert Hichens,1864,1950,British,None,None,"Folkestone, Kent, England","['Folkestone', ' Kent', ' England']",England,,Folkestone,both,False,Other
71,Bess Streeter Aldrich,1881,1954,White,Undergrad ,University of Nebraska,"Tabor, IA, USA","['Tabor', ' IA', ' USA']",USA,IA,Tabor,both,False,Other
72,Maz De La Roche,1885,1967,Canadian,Undergrad ,University of Toronto,"West Beeton, Ontario, Canada","['West Beeton', ' Ontario', ' Canada']",Canada,,West Beeton,both,False,Other
73,Janet Beith,1943,N/A,None,None,None,,,,,,both,False,Other
74,Sigrid Undset,1882,1949,Norwegian,Graduate,University of Oslo,"Kalundborg, Denmark","['Kalundborg', ' Denmark']",Denmark,,Kalundborg,both,False,Other
75,Dorothy Parker,1893,1967,Caucasian,Undergrad ,Vassar College,"West End, NJ, USA","['West End', ' NJ', ' USA']",USA,NJ,West End,both,False,Other
76,Dorothy Canfield,1879,1958,American,Undergrad ,Ohio State University,"Bellevue, OH, USA","['Bellevue', ' OH', ' USA']",USA,OH,Bellevue,both,False,Other
77,Alice Tisdale Hobart,1879,1946,American,Undergrad ,University of California,"Newark, NJ, USA","['Newark', ' NJ', ' USA']",USA,NJ,Newark,both,False,Other
78,John Masefield,1878,1967,British,None,None,"Ledbury, Herefordshire, England","['Ledbury', ' Herefordshire', ' England']",England,,Ledbury,both,False,Other
79,Dashiell Hammett,1894,1961,American,None,None,"Cheyenne, WY, USA","['Cheyenne', ' WY', ' USA']",USA,WY,Cheyenne,both,False,Other
80,James Joyce,1882,1941,Irish,Undergrad ,University College Dublin,"Dublin, Ireland","['Dublin', ' Ireland']",Ireland,,Dublin,both,False,Other
81,James M. Cain,1892,1977,American,Undergrad ,Washington College,"Annapolis, MD, USA","['Annapolis', ' MD', ' USA']",USA,MD,Annapolis,both,False,Other
82,Emilie Loring,1874,1951,American,Undergrad ,Smith College,"Newton, MA, USA","['Newton', ' MA', ' USA']",USA,MA,Newton,both,False,Other
83,R. C. Hutchinson,1886,1968,White,Undergrad ,University of London,"None, None, None","['None', ' None', ' None']",None,,None,both,False,Other
84,Agatha Christie,1890,1976,British,N/A,None,"Torquay, Devon, England","['Torquay', ' Devon', ' England']",England,,Torquay,both,False,Other
85,George Cronyn,1884,1968,Caucasian,Undergrad ,McGill University,"Toronto, Ontario, Canada","['Toronto', ' Ontario', ' Canada']",Canada,,Toronto,both,False,Other
86,Robert W. Chambers,1865,1933,White,None,None,"Brooklyn, NY, USA","['Brooklyn', ' NY', ' USA']",USA,NY,Brooklyn,both,False,Other
87,Eric Linklater,1899,1974,Scottish,Undergrad ,University of Edinburgh,"Edinburgh, Scotland","['Edinburgh', ' Scotland']",Scotland,,Edinburgh,both,False,Other
88,Elizabeth Jenkins,1905,2010,British,None,None,"Portsmouth, Hampshire, England","['Portsmouth', ' Hampshire', ' England']",England,,Portsmouth,both,False,Other
89,Phyllis Boltome,,None,None,None,None,,,,,,both,False,Other
90,Stefan Zweig,1881,1942,Austrian-Jewish,Graduate,University of Vienna,"Vienna, Austria-Hungary","['Vienna', ' Austria-Hungary']",Austria-Hungary,,Vienna,both,False,Other
91,MacKinlay Kantor,1904,1977,American,Undergrad ,University of Iowa,"Treece, KS, USA","['Treece', ' KS', ' USA']",USA,KS,Treece,both,False,Other
92,F. Scott Fitzgerald,1896,1940,American,Undergrad ,Princeton University,"Saint Paul, MN, USA","['Saint Paul', ' MN', ' USA']",USA,MN,Saint Paul,both,True,Top School
93,Isak Dinesen,1885,1962,Danish,None,None,"Rungstedlund, Rungsted, Denmark","['Rungstedlund', ' Rungsted', ' Denmark']",Denmark,,Rungstedlund,both,False,Other
94,Louis-Ferdinand Celine,1894,1961,French,Undergrad ,None,"Câline, Île-de-France, France","['Câline', ' Île-de-France', ' France']",France,,Câline,both,False,Other
95,P. G. Wodehouse,1881,1975,British,Undergrad ,Dulwich College,"Guildford, Surrey, England","['Guildford', ' Surrey', ' England']",England,,Guildford,both,False,Other
96,Stephen Vincent Benet,1898,1943,American,Undergrad ,Yale University,"Brooklyn, NY, USA","['Brooklyn', ' NY', ' USA']",USA,NY,Brooklyn,both,True,Top School
97,Caroline Miller,1903,1992,American,Undergrad ,University of Georgia,"Savannah, GA, USA","['Savannah', ' GA', ' USA']",USA,GA,Savannah,both,False,Other
98,Tess Slesinger,1905,1945,Jewish,Undergrad ,University of California,"New York City, NY, USA","['New York City', ' NY', ' USA']",USA,NY,New York City,both,False,Other
99,Ann Bridge,1889,1974,British,None,None,"Vauxhall, London, England","['Vauxhall', ' London', ' England']",England,,Vauxhall,both,False,Other
100,Robert Graves,1895,1985,English,None,None,"Wimbledon, London, England","['Wimbledon', ' London', ' England']",England,,Wimbledon,both,False,Other
101,Thomas Mann,1875,1955,German,Graduate,Ludwig Maximilian University of Munich,"Lübeck, Schleswig-Holstein, Germany","['Lübeck', ' Schleswig-Holstein', ' Germany']",Germany,,Lübeck,both,False,Other
102,E. M. Delafield,1890,1943,British,None,None,"Rugby, Warwickshire, England","['Rugby', ' Warwickshire', ' England']",England,,Rugby,both,False,Other
103,Josephine Lawrence,1888,1972,American,Undergrad ,Barnard College,"Newark, NJ, USA","['Newark', ' NJ', ' USA']",USA,NJ,Newark,both,False,Other
104,Maurice Walsh,1879,1964,Irish,None,None,"Ballykilcavan, County Laois, Ireland","['Ballykilcavan', ' County Laois', ' Ireland']",Ireland,,Ballykilcavan,both,False,Other
105,James Hilton,1900,1954,British,Undergrad ,Cambridge University,"Norwich, Norfolk, England","['Norwich', ' Norfolk', ' England']",England,,Norwich,both,False,Other
106,Stark Young,1881,1963,American,Graduate,University of Mississippi,"Woodville, MS, USA","['Woodville', ' MS', ' USA']",USA,MS,Woodville,both,False,Other
107,Alec Waugh,1898,1981,English,None,None,"Fulham, London, England","['Fulham', ' London', ' England']",England,,Fulham,both,False,Other
108,John O'Hara,1905,1970,American,Undergrad ,Princeton University,"Pottsville, PA, USA","['Pottsville', ' PA', ' USA']",USA,PA,Pottsville,both,True,Top School
109,Samuel Rogers,1763,1855,English,None,None,"Smith Square, Westminster, London, England","['Smith Square', ' Westminster', ' London', ' England']",England,,Smith Square,both,False,Other
110,Archie Binns,1889,1958,Scottish,Undergrad ,University of Edinburgh,"Pittsburgh, PA, USA","['Pittsburgh', ' PA', ' USA']",USA,PA,Pittsburgh,both,False,Other
111,Irving Stone,1903,1989,Jewish,Undergrad ,University of California,"San Francisco, CA, USA","['San Francisco', ' CA', ' USA']",USA,CA,San Francisco,both,False,Other
112,Mary Ellen Chase,1887,1973,American,Graduate,Columbia University,"Blue Hill, ME, USA","['Blue Hill', ' ME', ' USA']",USA,ME,Blue Hill,both,True,Top School
113,Doris Leslie,1914,1992,White,None,None,"Cape Town, South Africa","['Cape Town', ' South Africa']",South Africa,,Cape Town,both,False,Other
114,Ruth Suckow,1892,1960,White,Undergrad ,University of Iowa,"Sioux City, IA, USA","['Sioux City', ' IA', ' USA']",USA,IA,Sioux City,both,False,Other
115,William Saroyan,1908,1981,Armenian-American,Undergrad ,Stanford University,"Fresno, CA, USA","['Fresno', ' CA', ' USA']",USA,CA,Fresno,both,False,Top School
116,Ethel Boileau,1885,1961,White,None,None,,,,,,both,False,Other
117,Victoria Lincoln,1916,2011,White,Undergrad ,Smith College,,,,,,both,False,Other
118,Kenneth Roberts,1885,1957,American,Undergrad ,Colby College,"Kennebunk, ME, USA","['Kennebunk', ' ME', ' USA']",USA,ME,Kennebunk,both,False,Other
119,"""Elizabeth.",,None,None,None,None,,,,,,both,False,Other
120,Franz Werfel,1890,1945,Austrian-Jewish,None,None,"Prague, Czech Republic","['Prague', ' Czech Republic']",Czech Republic,,Prague,both,False,Other
121,Thornton Wilder,1897,1975,American,Graduate,Princeton University,"Madison, WI, USA","['Madison', ' WI', ' USA']",USA,WI,Madison,both,True,Top School
122,John Knittel,1891,1959,Swiss,None,None,"Chur, Graubünden, Switzerland","['Chur', ' Graubünden', ' Switzerland']",Switzerland,,Chur,both,False,Other
123,Bessie Breuer,1888,1975,American,Undergrad ,University of Michigan,"New York City, NY, USA","['New York City', ' NY', ' USA']",USA,NY,New York City,both,False,Other
124,Edouard Piesson,,None,None,None,None,"Châteauroux, Indre, France","['Châteauroux', ' Indre', ' France']",France,,Châteauroux,both,False,Other
125,Alfred Neumann,1900,1990,German,None,None,"Böhmen, Austria-Hungary (now Czech Republic)","['Böhmen', ' Austria-Hungary (now Czech Republic)']",Austria-Hungary,,Böhmen,both,False,Other
126,Eleanor Carroll Chilton,,None,None,None,None,"Mason, WV, USA","['Mason', ' WV', ' USA']",USA,WV,Mason,both,False,Other
127,Thomas Wolfe,1900,1938,Caucasian,Undergrad ,University of North Carolina at Chapel Hill,"Asheville, NC, USA","['Asheville', ' NC', ' USA']",USA,NC,Asheville,both,False,Top School
128,Bruno Frank,1887,1945,German,Graduate,University of Berlin,"Nuremberg, Bavaria, Germany","['Nuremberg', ' Bavaria', ' Germany']",Germany,,Nuremberg,both,False,Other
129,William Faulkner,1897,1962,American,Undergrad ,University of Mississippi,"New Albany, MS, USA","['New Albany', ' MS', ' USA']",USA,MS,New Albany,both,False,Other
130,Louis Adamic,1898,1951,Slovenian,None,None,"Prebold, Slovenia","['Prebold', ' Slovenia']",Slovenia,,Prebold,both,False,Other
131,Elizabeth Madox Roberts,1881,1941,American,None,None,"Louisville, KY, USA","['Louisville', ' KY', ' USA']",USA,KY,Louisville,both,False,Other
132,Rachel Field,1894,1942,American,Undergrad ,Radcliffe College,"New York City, NY, USA","['New York City', ' NY', ' USA']",USA,NY,New York City,both,False,Other
133,Susan Ertz,1887,1985,White,None,None,"Hampstead, London, England","['Hampstead', ' London', ' England']",England,,Hampstead,both,False,Other
134,Katherine Brush,1898,1952,American,Undergrad ,University of Washington,"New York City, NY, USA","['New York City', ' NY', ' USA']",USA,NY,New York City,both,False,Other
135,Enid Bagnold,1889,1981,British,None,None,"Ichaboe, British Guiana","['Ichaboe', ' British Guiana']",British Guiana,,Ichaboe,both,False,Other
136,James Boyd,1871,1944,American,Undergrad ,University of North Carolina at Chapel Hill,"Kinston, NC, USA","['Kinston', ' NC', ' USA']",USA,NC,Kinston,both,False,Top School
137,Josephine Johnson,1910,1990,American,Undergrad ,University of Iowa,"Mason City, IA, USA","['Mason City', ' IA', ' USA']",USA,IA,Mason City,both,False,Other
138,Humphrey Cobb,1899,1944,Canadian,Undergrad ,University of Toronto,"Montreal, Quebec, Canada","['Montreal', ' Quebec', ' Canada']",Canada,,Montreal,both,False,Other
139,Erskine Caldwell,1903,1987,American,Undergrad ,University of North Georgia,"Moreland, GA, USA","['Moreland', ' GA', ' USA']",USA,GA,Moreland,both,False,Other
140,Robert Rylee,,None,None,None,None,,,,,,both,False,Other
141,David Frome,,None,None,None,None,,,,,,both,False,Other
142,Ruth Feiner,,None,White,Undergrad ,Barnard College,,,,,,both,False,Other
143,Laurence Kirk,,None,None,None,None,,,,,,both,False,Other
144,Clarence Day,1874,1935,American,Undergrad ,Harvard University,"New York City, NY, USA","['New York City', ' NY', ' USA']",USA,NY,New York City,both,True,Top School
145,Rex Stout,1886,1975,American,None,None,"Napa, CA, USA","['Napa', ' CA', ' USA']",USA,CA,Napa,both,False,Other
146,H. L. Davis,1894,1977,American,Undergrad ,University of Oregon,"Myrtle Point, OR, USA","['Myrtle Point', ' OR', ' USA']",USA,OR,Myrtle Point,both,False,Other
147,Robert Briffault,1876,1948,British,Undergrad ,University of Oxford,"Nottingham, England","['Nottingham', ' England']",England,,Nottingham,both,False,Other
148,Phillip Gibbs,,None,None,None,None,"Wandsworth, London, England","['Wandsworth', ' London', ' England']",England,,Wandsworth,both,False,Other
149,B. S. Aldrich,1906,2003,American,Undergrad ,University of Vermont,"Ludlow, VT, USA","['Ludlow', ' VT', ' USA']",USA,VT,Ludlow,both,False,Other
150,Mary Ayer Barnes,1870,1948,None,Undergrad ,None,"Wilmington, DE, USA","['Wilmington', ' DE', ' USA']",USA,DE,Wilmington,both,False,Other
151,Barry Benefield,1936,2018,Caucasian,Undergrad ,University of New Hampshire,"Macon, GA, USA","['Macon', ' GA', ' USA']",USA,GA,Macon,both,False,Other
152,James Gould Cozzens,1903,1978,American,Undergrad ,Harvard University,"Chicago, IL, USA","['Chicago', ' IL', ' USA']",USA,IL,Chicago,both,True,Top School
153,Johan Fabricius,1884,1962,Danish,None,None,"Helsingør, Denmark","['Helsingør', ' Denmark']",Denmark,,Helsingør,both,False,Other
154,Lion Feuchwanger,1884,1958,German,Graduate,University of Munich,"Munich, Bavaria, Germany","['Munich', ' Bavaria', ' Germany']",Germany,,Munich,both,False,Other
155,George Santayana,1863,1952,Spanish-American,Graduate,Harvard University,"Madrid, Spain","['Madrid', ' Spain']",Spain,,Madrid,both,True,Top School
156,Frances Frost,1903,1989,White,Undergrad ,University of Washington,"Winthrop, MA, USA","['Winthrop', ' MA', ' USA']",USA,MA,Winthrop,both,False,Other
157,Marian Sims,,None,None,None,None,"Petersburg, VA, USA","['Petersburg', ' VA', ' USA']",USA,VA,Petersburg,both,False,Other
158,Dorothy L. Sayers,1893,1957,British,Undergrad ,Somerville College,"Oxford, Oxfordshire, England","['Oxford', ' Oxfordshire', ' England']",England,,Oxford,both,False,Other
159,Somerset Maugham,1874,1965,English,None,None,"Paris, France","['Paris', ' France']",France,,Paris,both,False,Other
160,Elizabeth Bowen,1899,1973,Irish,None,None,"Dublin, Ireland","['Dublin', ' Ireland']",Ireland,,Dublin,both,False,Other
161,Rebecca West,1892,1983,British,None,None,"Londonderry, Northern Ireland, UK","['Londonderry', ' Northern Ireland', ' UK']",United Kingdom,,Londonderry,both,False,Other
162,Winifred Holtby,1898,1935,British,None,None,"Richmond, Yorkshire, England","['Richmond', ' Yorkshire', ' England']",England,,Richmond,both,False,Other
163,Daphne Du Maurier,1907,1989,British,None,None,"London, England, UK","['London', ' England', ' UK']",United Kingdom,,London,both,False,Other
164,Arnold Zweig,1887,1968,German-Jewish,Graduate,University of Berlin,"Düsseldorf, North Rhine-Westphalia, Germany","['Düsseldorf', ' North Rhine-Westphalia', ' Germany']",Germany,,Düsseldorf,both,False,Other
165,Vincent Sheean,1899,1975,Caucasian,Undergrad ,University of Notre Dame,"Burlington, IA, USA","['Burlington', ' IA', ' USA']",USA,IA,Burlington,both,False,Other
166,Margaret Mitchell,1900,1949,Caucasian,Undergrad ,Smith College,"Atlanta, GA, USA","['Atlanta', ' GA', ' USA']",USA,GA,Atlanta,both,False,Other
167,Walter D. Edmonds,1903,1998,American,Undergrad ,University of Wisconsin-Madison,"Johnstown, NY, USA","['Johnstown', ' NY', ' USA']",USA,NY,Johnstown,both,False,Other
168,John Buchan,1875,1940,Scottish,Undergrad ,Brasenose College,"Perth, Scotland","[' Perth', ' Scotland']",Scotland,,Perth,both,False,Other
169,Winifred Van Etten,1907,1992,Caucasian,Undergrad ,University of Wisconsin-Madison,"Northampton, MA, USA","['Northampton', ' MA', ' USA']",USA,MA,Northampton,both,False,Other
170,John T. McIntyre,1945,N/A,Caucasian,Undergrad ,University of Maryland,"Pittsburgh, PA, USA","['Pittsburgh', ' PA', ' USA']",USA,PA,Pittsburgh,both,False,Other
171,Fanny Hurst,1889,1968,American,Undergrad ,Washington University in St. Louis,"Saint Louis, MO, USA","['Saint Louis', ' MO', ' USA']",USA,MO,Saint Louis,both,False,Other
172,Marcia Davenport,1903,1996,American,Undergrad ,University of Pennsylvania,"Kansas City, MO, USA","['Kansas City', ' MO', ' USA']",USA,MO,Kansas City,both,True,Top School
173,Janet Ayer Fairbank,1906,1970,Caucasian,Undergrad ,Smith College,"Lansdowne, PA, USA","['Lansdowne', ' PA', ' USA']",USA,PA,Lansdowne,both,False,Other
174,Gilbert Frankau,1884,1952,British,None,None,"London, England, UK","['London', ' England', ' UK']",United Kingdom,,London,both,False,Other
175,John P. Marquand,1893,1960,American,None,None,"Sagamore, MA, USA","['Sagamore', ' MA', ' USA']",USA,MA,Sagamore,both,False,Other
176,Jolan Foldes,1904,1976,Hungarian,Graduate,University of Szeged,"Budapest, Hungary","['Budapest', ' Hungary']",Hungary,,Budapest,both,False,Other
177,Maxence van der Meersch,1907,1951,Belgian,Undergrad ,University of Liège,"Lille, Nord, France","['Lille', ' Nord', ' France']",France,,Lille,both,False,Other
178,Myron Brinig,1896,1973,American,Undergrad ,University of Wisconsin-Madison,"Butte, MT, USA","['Butte', ' MT', ' USA']",USA,MT,Butte,both,False,Other
179,John Steinbeck,1902,1968,American,Undergrad ,Stanford University,"Salinas, CA, USA","['Salinas', ' CA', ' USA']",USA,CA,Salinas,both,False,Top School
180,Esther Forbes,1891,1967,American,Graduate,Radcliffe College,"Westborough, MA, USA","['Westborough', ' MA', ' USA']",USA,MA,Westborough,both,False,Other
